generation,gender,treatment,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.484,0.672,0.48,0.414,0.938,0.897,0.898,0.381,0.549,0.712,0.982,0.871,0.541,0.566,0.795,0.979,0.717,0.714,0.925,0.741
GO000012-F0,NA,AHR 5uM BaP,Tank01_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.549,0.582,0.484,0.487,0.503,0.456,0.652,0.633,0.481,0.578,0.481,0.535,0.499,0.405,0.585,0.749,0.575,0.669,0.606,0.765
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.579,0.647,0.637,0.597,0.613,0.662,0.69,0.575,0.572,0.656,0.632,0.626,0.649,0.713,0.678,0.681,0.872,0.692,0.724,0.78
GO000012-F0,NA,AHR 5uM BaP,Tank02_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.611,0.802,0.729,0.604,0.583,0.726,0.846,0.567,0.561,0.608,0.576,0.574,0.531,0.63,0.54,0.684,0.514,0.577,0.636,0.751
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-17-2018 11-20-17 AM 1,0.507,0.52,0.422,0.406,0.602,0.518,0.532,0.4,0.367,0.443,0.528,0.287,0.389,0.473,0.552,0.419,0.405,0.391,0.397,0.368
GO000012-F0,NA,AHR 5uM BaP,Tank03_AHR 5uM BaP_Video Camera 5 5-25-2018 10-01-29 AM 1,0.35,0.47,0.404,0.411,0.369,0.365,0.433,0.431,0.453,0.445,0.317,0.489,0.449,0.421,0.425,0.454,0.37,0.45,0.534,0.473
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.59,0.599,0.811,1.054,0.858,0.706,0.562,0.83,0.834,0.624,0.749,0.771,0.98,0.844,0.846,0.814,0.973,0.941,0.964,0.666
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.51,0.677,0.545,0.499,0.618,0.694,0.705,0.563,0.641,0.731,0.545,0.557,0.617,0.463,0.547,0.566,0.708,0.503,0.73,0.666
GO000012-F0,NA,AHR DMSO,Tank01_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.554,0.404,0.566,0.479,0.5,0.521,0.597,0.608,0.413,0.598,0.513,0.533,0.518,0.546,0.468,0.556,0.625,0.503,0.451,0.66
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.48,0.465,0.433,0.379,0.406,0.359,0.454,0.441,0.395,0.393,0.454,0.469,0.388,0.415,0.459,0.488,0.559,0.852,1.203,1.302
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.464,0.55,0.481,0.442,0.35,0.364,0.372,0.391,0.438,0.411,0.376,0.437,0.42,0.378,0.424,0.438,0.389,0.345,0.364,0.38
GO000012-F0,NA,AHR DMSO,Tank02_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.486,0.646,0.448,0.408,0.381,0.451,0.447,0.375,0.449,0.394,0.387,0.455,0.459,0.41,0.437,0.433,0.421,0.501,0.659,0.78
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-16-2018 11-21-39 AM 1,0.471,0.504,0.64,0.896,0.78,0.671,0.495,0.737,0.811,0.734,0.722,0.83,0.841,1.004,1.001,0.865,0.953,0.848,0.831,0.629
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-18-2018 10-42-58 AM 1,0.539,0.467,0.442,0.531,0.43,0.497,0.491,0.564,0.385,0.453,0.418,0.582,0.573,0.679,0.529,0.61,0.576,0.658,0.492,0.554
GO000012-F0,NA,AHR DMSO,Tank03_AHR DMSO_Video Camera 5 5-24-2018 10-14-25 AM 1,0.445,0.519,0.417,0.519,0.426,0.482,0.498,0.533,0.468,0.477,0.52,0.445,0.507,0.538,0.413,0.375,0.421,0.439,0.721,0.704
GO000012-F0,NA,COMO 5uM BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.645,0.835,0.778,0.815,0.668,0.631,0.727,0.569,0.76,0.807,0.87,0.739,0.699,0.703,0.778,0.676,0.614,0.682,0.716,0.75
GO000012-F0,NA,COMO 5uM BaP,Tank01_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.375,0.413,0.412,0.441,0.457,0.43,0.423,0.48,0.605,0.388,0.385,0.388,0.394,0.386,0.473,0.341,0.414,0.541,0.569,0.446
GO000012-F0,NA,COMO 5uM BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.463,0.415,0.426,0.423,0.378,0.515,0.362,0.409,0.512,0.529,0.555,0.657,0.675,0.566,0.559,0.569,0.643,0.543,0.486,0.532
GO000012-F0,NA,COMO 5uM BaP,Tank02_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.524,1.088,1.085,1.15,0.471,0.452,0.586,0.596,1.28,0.724,0.445,0.461,1.143,1.126,0.622,0.617,0.501,0.494,0.739,1.162
GO000012-F0,NA,COMO 5uM BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-16-2018 10-40-23 AM 1,0.709,0.958,0.669,0.657,0.732,0.796,0.616,0.623,0.61,0.624,0.499,0.606,0.496,0.569,0.769,0.562,0.706,0.56,0.652,0.792
GO000012-F0,NA,COMO 5uM BaP,Tank03_COMO 5uM BaP_Video Camera 5 5-17-2018 12-11-24 PM 1,0.537,0.409,0.504,0.604,0.661,0.833,0.655,0.629,0.869,0.739,0.75,0.896,0.821,0.787,0.614,0.571,0.652,0.686,0.662,0.696
GO000012-F0,NA,COMO DMSO,Tank01_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.488,0.426,0.497,0.53,0.394,0.447,0.567,0.436,0.492,0.48,0.576,0.559,0.564,0.526,0.576,0.489,0.509,0.534,0.646,0.494
GO000012-F0,NA,COMO DMSO,Tank01_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.574,0.496,0.538,0.564,0.644,0.635,0.38,0.344,0.321,0.331,0.356,0.312,0.308,0.445,0.342,0.422,0.359,0.342,0.35,0.337
GO000012-F0,NA,COMO DMSO,Tank02_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.436,0.363,0.407,0.419,0.42,0.38,0.477,0.377,0.549,0.382,0.448,0.507,0.536,0.518,0.583,0.484,0.498,0.42,0.458,0.385
GO000012-F0,NA,COMO DMSO,Tank02_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.415,0.81,0.669,0.869,0.813,0.589,0.751,0.613,0.652,0.798,0.497,0.7,0.998,1.306,1.271,0.752,0.524,0.626,0.751,1.114
GO000012-F0,NA,COMO DMSO,Tank03_COMO DMSO_Video Camera 5 5-16-2018 12-27-52 PM 1,0.503,0.516,0.554,0.475,0.595,0.487,0.534,0.541,0.499,0.545,0.489,0.558,0.553,0.577,0.636,0.609,0.511,0.425,0.446,0.646
GO000012-F0,NA,COMO DMSO,Tank03_COMO DMSO_Video Camera 5 5-23-2018 9-40-32 AM 1,0.689,0.715,0.703,0.684,0.61,0.644,0.641,0.67,0.664,0.62,0.672,0.764,0.721,0.596,0.725,0.666,0.659,0.656,0.674,0.564
